,Movie_Script,Movie_trope
0,ninjaassassin,NinjaAssassin
1,landofthedead,LandOfTheDead
2,meninblack3,MenInBlack3
3,perfectcreature,PerfectCreature
4,ghostandthedarknessthe,TheGhostAndTheDarkness
5,maxpayne,MaxPayne
6,savingprivateryan,SavingPrivateRyan
7,vforvendetta,VForVendetta
8,tristanandisolde,TristanAndIsolde
9,programthe,TheProgram
10,next,Next
11,jasonx,JasonX
12,hudsonhawk,HudsonHawk
13,lostinspace,LostInSpace
14,machinegunpreacher,MachineGunPreacher
15,touristthe,TheTourist
16,tropicthunder,TropicThunder
17,watchmen,Watchmen
18,wildwildwest,WildWildWest
19,commando,Commando
20,ghostship,GhostShip
21,avatar,Avatar
22,gladiator,Gladiator
23,deeprising,DeepRising
24,abyssthe,TheAbyss
25,highlander,Highlander
26,constantine,Constantine
27,darkknightrisesthe,TheDarkKnightRises
28,badboys,BadBoys
29,rushhour,RushHour
30,waroftheworlds,WarOfTheWorlds
31,starshiptroopers,StarshipTroopers
32,strangedays,StrangeDays
33,getawaythe,TheGetaway
34,getcarter,GetCarter
35,eightleggedfreaks,EightLeggedFreaks
36,startreknemesis,StarTrekNemesis
37,rocknrolla,RocknRolla
38,newyorkminute,NewYorkMinute
39,patriotthe,ThePatriot
40,soldier,Soldier
41,eagleeye,EagleEye
42,redplanet,RedPlanet
43,jurassicpark,JurassicPark
44,madmax2theroadwarrior,MadMax2TheRoadWarrior
45,lakeplacid,LakePlacid
46,backdraft,Backdraft
47,entrapment,Entrapment
48,bourneultimatumthe,TheBourneUltimatum
49,warrior,Warrior
50,fairgame,FairGame
51,ghostrider,GhostRider
52,wildbunchthe,TheWildBunch
53,crouchingtigerhiddendragon,CrouchingTigerHiddenDragon
54,riseoftheplanetoftheapes,RiseOfThePlanetOfTheApes
55,inglouriousbasterds,InglouriousBasterds
56,airforceone,AirForceOne
57,metro,Metro
58,cliffhanger,Cliffhanger
59,legion,Legion
60,driveangry,DriveAngry
61,buffythevampireslayer,BuffyTheVampireSlayer
62,highlanderendgame,HighlanderEndgame
63,feast,Feast
64,pearlharbor,PearlHarbor
65,topgun,TopGun
66,lastsamuraithe,TheLastSamurai
67,blade,Blade
68,platoon,Platoon
69,fromdusktilldawn,FromDuskTillDawn
70,inception,Inception
71,xmenoriginswolverine,XMenOriginsWolverine
72,matrixthe,TheMatrix
73,machete,Machete
74,reindeergames,ReindeerGames
75,supergirl,Supergirl
76,swordfish,Swordfish
77,xfilesfightthefuturethe,TheXFilesFightTheFuture
78,cradle2thegrave,Cradle2TheGrave
79,masterandcommander,MasterAndCommander
80,alienresurrection,AlienResurrection
81,mariachiel,ElMariachi
82,deepcover,DeepCover
83,tron,Tron
84,threekings,ThreeKings
85,escapefromnewyork,EscapeFromNewYork
86,crowcityofangelsthe,TheCrowCityOfAngels
87,huntforredoctoberthe,TheHuntForRedOctober
88,blackrain,BlackRain
89,bladeii,BladeII
90,xxx,XXx
91,abovethelaw,AboveTheLaw
92,naturalbornkillers,NaturalBornKillers
93,irobot,IRobot
94,drive,Drive
95,jurassicparkiii,JurassicParkIII
96,hancock,Hancock
97,fightclub,FightClub
98,heat,Heat
99,worldisnotenoughthe,TheWorldIsNotEnough
100,pandorum,Pandorum
101,surrogates,Surrogates
102,thunderbirds,Thunderbirds
103,alien3,Alien3
104,apocalypsenow,ApocalypseNow
105,startrekfirstcontact,StarTrekFirstContact
106,hanna,Hanna
107,pulpfiction,PulpFiction
108,trueromance,TrueRomance
109,hostage,Hostage
110,startrekgenerations,StarTrekGenerations
111,piratesofthecaribbeandeadmanschest,PiratesOfTheCaribbeanDeadMansChest
112,whiteout,Whiteout
113,bookofelithe,TheBookOfEli
114,enemyofthestate,EnemyOfTheState
115,islandthe,TheIsland
116,losersthe,TheLosers
117,colombiana,Colombiana
118,darkman,Darkman
119,wanted,Wanted
120,ronin,Ronin
121,mysterymen,MysteryMen
122,thor,Thor
123,stuntmanthe,TheStuntMan
124,longkissgoodnightthe,TheLongKissGoodnight
125,breakdown,Breakdown
126,scottpilgrimvstheworld,ScottPilgrimVsTheWorld
127,tronlegacy,TronLegacy
128,virtuosity,Virtuosity
129,indianajonesandthelastcrusade,IndianaJonesAndTheLastCrusade
130,aliens,Aliens
131,willow,Willow
132,terminatorsalvation,TerminatorSalvation
133,startrekiithewrathofkhan,StarTrekIITheWrathOfKhan
134,residentevil,ResidentEvil
135,fifthelementthe,TheFifthElement
136,alien,Alien
137,collateraldamage,CollateralDamage
138,tomorrowneverdies,TomorrowNeverDies
139,frenchconnectionthe,TheFrenchConnection
140,bladerunner,BladeRunner
141,lastboyscoutthe,TheLastBoyScout
142,robinhoodprinceofthieves,RobinHoodPrinceOfThieves
143,cellular,Cellular
144,mightymorphinpowerrangersthemovie,MightyMorphinPowerRangersTheMovie
145,meninblack,MenInBlack
146,ticker,Ticker
147,smokinaces,SmokinAces
148,independenceday,IndependenceDay
149,avengersthe2012,TheAvengers2012
150,bountyhunterthe,TheBountyHunter
151,crowsalvationthe,TheCrowSalvation
152,dragonslayer,Dragonslayer
153,bourneidentitythe,TheBourneIdentity
154,wildhogs,WildHogs
155,battlelosangeles,BattleLosAngeles
156,crank,Crank
157,minorityreport,MinorityReport
158,speedracer,SpeedRacer
159,hackers,Hackers
160,predator,Predator
161,armageddon,Armageddon
162,pacifierthe,ThePacifier
163,twins,Twins
164,matrixreloadedthe,TheMatrixReloaded
165,defiance,Defiance
166,looper,Looper
167,truelies,TrueLies
168,codeofsilence,CodeOfSilence
169,logansrun,LogansRun
170,braveheart,Braveheart
171,manonfire,ManOnFire
172,tombstone,Tombstone
173,assassins,Assassins
174,serenity,Serenity
175,reservoirdogs,ReservoirDogs
176,hardtokill,HardToKill
177,missionimpossibleii,MissionImpossibleII
178,bladetrinity,BladeTrinity
179,gamer,Gamer
180,snowwhiteandthehuntsman,SnowWhiteAndTheHuntsman
181,miamivice,MiamiVice
182,indianajonesandthetempleofdoom,IndianaJonesAndTheTempleOfDoom
183,faceoff,FaceOff
184,nightbreed,Nightbreed
185,armyofdarkness,ArmyOfDarkness
186,diehard2,DieHard2
187,postmanthe,ThePostman
188,hardrain,HardRain
189,judgedredd,JudgeDredd
190,fugitivethe,TheFugitive
191,kingkong,KingKong
192,batman,Batman1989
193,escapefroml.a.,EscapeFromLA
194,godzilla,Godzilla1998
195,kingdomthe,TheKingdom2007
196,rush,Rush2013
197,maskthe,TheMask
198,hellboy,Hellboy2004
199,conanthebarbarian,ConanTheBarbarian2011
200,dune,Dune1984
201,30minutesorless,ThirtyMinutesOrLess
202,piratesofthecaribbean,PiratesOfTheCaribbeanTheCurseOfTheBlackPearl
203,lordoftheringsfellowshipoftheringthe,TheLordOfTheRingsTheFellowshipOfTheRing
204,rambofirstbloodiithemission,RamboFirstBloodPartII
205,dawnofthedead,DawnOfTheDead1978
206,fantasticfour,FantasticFour2005
207,batman2,BatmanReturns
208,ghostbusters2,GhostbustersII
209,freddyvs.jason,FreddyVsJason
210,chroniclesofnarniathelionthewitchandthewardrobe,TheLionTheWitchAndTheWardrobe
211,walkingtall,WalkingTall2004
212,terminator2judgementday,Terminator2JudgmentDay
213,lordoftheringsthetwotowers,TheLordOfTheRingsTheTwoTowers
214,starwarstheempirestrikesback,TheEmpireStrikesBack
215,thelmalouise,ThelmaAndLouise
216,brokenarrow,BrokenArrow1996
217,transformersthemovie,Transformers
218,priest,Priest2011
219,saintthe,TheSaint1997
220,hellboy2thegoldenarmy,HellboyIITheGoldenArmy
221,mechanicthe,TheMechanic2011
222,startrek,StarTrek2009
223,starwarsthephantommenace,ThePhantomMenace
224,starwarsreturnofthejedi,ReturnOfTheJedi
225,missionimpossible,missionimpossible1996
226,thingthe,TheThing1982
227,cryinggame,TheCryingGame
228,planetoftheapesthe,PlanetOfTheApes1968
229,evildeadiideadbydawn,EvilDead2
230,avengersthe,TheAvengers1998
231,g.i.jane,GIJane
232,48hrs.,FortyEightHours
233,g.i.joetheriseofcobra,GIJoeTheRiseOfCobra
234,sherlockholmes,SherlockHolmes2009
235,pointbreak,PointBreak1991
236,mummythe,TheMummy1999
237,terminator,TheTerminator
238,indianajonesandtheraidersofthelostark,RaidersOfTheLostArk
239,threemusketeersthe,TheThreeMusketeers1993
240,debtthe,TheDebt
241,jurassicparkthelostworld,TheLostWorldJurassicPark
242,alienvs.predator,AlienVsPredator
243,xmen,XMen1
244,aloneinthedark,AloneInTheDark2005
245,rockthe,TheRock
246,lordoftheringsreturnoftheking,TheLordOfTheRingsTheReturnOfTheKing
247,italianjobthe,TheItalianJob2003
248,gonein60seconds,GoneInSixtySeconds2000
249,clashofthetitans,ClashOfTheTitans2010
250,scarface,Scarface1983
251,siegethe,TheSiege
252,flashgordon,FlashGordon1980
253,starwarsanewhope,ANewHope
254,totalrecall,TotalRecall1990
255,crowthe,TheCrow
256,manintheironmask,TheManInTheIronMask
257,cowboysaliens,CowboysAndAliens
258,timemachinethe,TheTimeMachine1960
259,oblivion,Oblivion2013
260,charliesangels,CharliesAngels2000
261,starwarsattackoftheclones,AttackOfTheClones
262,indianajonesiv,IndianaJonesAndTheKingdomOfTheCrystalSkull
