,Movie_Script,Movie_Trope
0,serenity,Serenity
1,detroitrockcity,DetroitRockCity
2,startrekgenerations,StarTrekGenerations
3,avatar,Avatar
4,inglouriousbasterds,InglouriousBasterds
5,willow,Willow
6,existenz,EXistenZ
7,newyorkminute,NewYorkMinute
8,jaws2,Jaws2
9,dumbanddumber,DumbAndDumber
10,snowwhiteandthehuntsman,SnowWhiteAndTheHuntsman
11,dragonslayer,Dragonslayer
12,ghostship,GhostShip
13,lostinspace,LostInSpace
14,themanwhoknewtoomuch,TheManWhoKnewTooMuch
15,robinhoodprinceofthieves,RobinHoodPrinceOfThieves
16,missiontomars,MissionToMars
17,startrekfirstcontact,StarTrekFirstContact
18,tomorrowneverdies,TomorrowNeverDies
19,madmax2theroadwarrior,MadMax2TheRoadWarrior
20,waroftheworlds,WarOfTheWorlds
21,kingkong,KingKong
22,thelosers,TheLosers
23,tropicthunder,TropicThunder
24,danceswithwolves,DancesWithWolves
25,xxx,XXx
26,jayandsilentbobstrikeback,JayAndSilentBobStrikeBack
27,thelastofthemohicans,TheLastOfTheMohicans
28,thunderbirds,Thunderbirds
29,excalibur,Excalibur
30,yearone,YearOne
31,dune,Dune
32,jurassicpark,JurassicPark
33,hudsonhawk,HudsonHawk
34,truegrit,TrueGrit
35,airforceone,AirForceOne
36,dogma,Dogma
37,crouchingtigerhiddendragon,CrouchingTigerHiddenDragon
38,tron,Tron
39,thewayback,TheWayBack
40,startrekiithewrathofkhan,StarTrekIITheWrathOfKhan
41,armyofdarkness,ArmyOfDarkness
42,sideways,Sideways
43,logansrun,LogansRun
44,montecarlo,MonteCarlo
45,highlanderendgame,HighlanderEndgame
46,thehitchhikersguidetothegalaxy,TheHitchhikersGuideToTheGalaxy
47,thehuntforredoctober,TheHuntForRedOctober
48,thelastsamurai,TheLastSamurai
49,theabyss,TheAbyss
50,losthorizon,LostHorizon
51,inception,Inception
52,threekings,ThreeKings
53,wildhogs,WildHogs
54,paul,Paul
55,indianajonesandthetempleofdoom,IndianaJonesAndTheTempleOfDoom
56,labyrinth,Labyrinth
57,truelies,TrueLies
58,jurassicparkiii,JurassicParkIII
59,tristanandisolde,TristanAndIsolde
60,supergirl,Supergirl
61,missionimpossibleii,MissionImpossibleII
62,indianajonesandthelastcrusade,IndianaJonesAndTheLastCrusade
63,theworldisnotenough,TheWorldIsNotEnough
64,escapefromnewyork,EscapeFromNewYork
65,thebookofeli,TheBookOfEli
66,cliffhanger,Cliffhanger
67,theprincessbride,ThePrincessBride
68,masterandcommander,MasterAndCommander
69,thebourneultimatum,TheBourneUltimatum
70,thebrothersbloom,TheBrothersBloom
71,haroldandkumargotowhitecastle,HaroldAndKumarGoToWhiteCastle
72,theimaginariumofdoctorparnassus,TheImaginariumOfDoctorParnassus
73,thepostman,ThePostman
74,thestuntman,TheStuntMan
75,piratesofthecaribbeandeadmanschest,PiratesOfTheCaribbeanDeadMansChest
76,terminatorsalvation,TerminatorSalvation
77,prometheus,Prometheus
78,starman,Starman
79,djangounchained,DjangoUnchained
80,theghostandthedarkness,TheGhostAndTheDarkness
81,jaws,Jaws
82,thor,Thor
83,avengersthe2012,TheAvengers2012
84,castaway,CastAway
85,intothewild,IntoTheWild
86,thewizardofoz,TheWizardOfOz
87,bigfish,BigFish
88,thefugitive,TheFugitive
89,tronlegacy,TronLegacy
90,thebourneidentity,TheBourneIdentity
91,startreknemesis,StarTrekNemesis
