,Movie_Script,Movie_Trope
0,somethingsgottagive,SomethingsGottaGive
1,nottinghill,NottingHill
2,thefamilyman,TheFamilyMan
3,detroitrockcity,DetroitRockCity
4,badteacher,BadTeacher
5,thepacifier,ThePacifier
6,synecdochenewyork,SynecdocheNewYork
7,burnafterreading,BurnAfterReading
8,dotherightthing,DoTheRightThing
9,dropdeadgorgeous,DropDeadGorgeous
10,willow,Willow
11,themenwhostareatgoats,TheMenWhoStareAtGoats
12,prettywoman,PrettyWoman
13,newyorkminute,NewYorkMinute
14,broadcastnews,BroadcastNews
15,bachelorparty,BachelorParty
16,go,Go
17,hannahandhersisters,HannahAndHerSisters
18,theaddamsfamily,TheAddamsFamily
19,mumford,Mumford
20,dumbanddumber,DumbAndDumber
21,election,Election
22,asgoodasitgets,AsGoodAsItGets
23,superbad,Superbad
24,monkeybone,Monkeybone
25,lakeplacid,LakePlacid
26,punchdrunklove,PunchDrunkLove
27,feast,Feast
28,lostintranslation,LostInTranslation
29,theproposal,TheProposal
30,silverliningsplaybook,SilverLiningsPlaybook
31,mrdeedsgoestotown,MrDeedsGoesToTown
32,thehudsuckerproxy,TheHudsuckerProxy
33,rocknrolla,RockNRolla
34,fasttimesatridgemonthigh,FastTimesAtRidgemontHigh
35,deathatafuneral,DeathAtAFuneral
36,goodwillhunting,GoodWillHunting
37,chasingamy,ChasingAmy
38,ted,Ted
39,ferrisbuellersdayoff,FerrisBuellersDayOff
40,youvegotmail,YouveGotMail
41,fourrooms,FourRooms
42,cherryfalls,CherryFalls
43,livinginoblivion,LivingInOblivion
44,youthinrevolt,YouthInRevolt
45,sleeplessinseattle,SleeplessInSeattle
46,allaboutsteve,AllAboutSteve
47,extract,Extract
48,datenight,DateNight
49,clerks,Clerks
50,birthdaygirl,BirthdayGirl
51,larrycrowne,LarryCrowne
52,thedistinguishedgentleman,TheDistinguishedGentleman
53,thecooler,TheCooler
54,edtv,EDtv
55,stepmom,Stepmom
56,bridesmaids,Bridesmaids
57,theartist,TheArtist
58,oceanseleven,OceansEleven
59,outofsight,OutOfSight
60,thekidsareallright,TheKidsAreAllRight
61,diner,Diner
62,forrestgump,ForrestGump
63,officespace,OfficeSpace
64,threemenandababy,ThreeMenAndABaby
65,nostringsattached,NoStringsAttached
66,crazystupidlove,CrazyStupidLove
67,tropicthunder,TropicThunder
68,fatalinstinct,FatalInstinct
69,jayandsilentbobstrikeback,JayAndSilentBobStrikeBack
70,knockedup,KnockedUp
71,edwood,EdWood
72,thunderbirds,Thunderbirds
73,thedescendants,TheDescendants
74,sugarandspice,SugarAndSpice
75,soimarriedanaxemurderer,SoIMarriedAnAxeMurderer
76,airplane,Airplane
77,raisingarizona,RaisingArizona
78,bottlerocket,BottleRocket
79,yearone,YearOne
80,beingthere,BeingThere
81,dogdayafternoon,DogDayAfternoon
82,snatch,Snatch
83,thebountyhunter,TheBountyHunter
84,ithappenedonenight,ItHappenedOneNight
85,theressomethingaboutmary,TheresSomethingAboutMary
86,smokinaces,SmokinAces
87,scottpilgrimvstheworld,ScottPilgrimVsTheWorld
88,meetjohndoe,MeetJohnDoe
89,hesjustnotthatintoyou,HesJustNotThatIntoYou
90,legallyblonde,LegallyBlonde
91,easya,EasyA
92,groundhogday,GroundhogDay
93,liarliar,LiarLiar
94,charade,Charade
95,hudsonhawk,HudsonHawk
96,hottubtimemachine,HotTubTimeMachine
97,gardenstate,GardenState
98,gremlins,Gremlins
99,thehospital,TheHospital
100,malibusmostwanted,MalibusMostWanted
101,thebreakfastclub,TheBreakfastClub
102,badsanta,BadSanta
103,meninblack,MenInBlack
104,observeandreport,ObserveAndReport
105,hisgirlfriday,HisGirlFriday
106,dogma,Dogma
107,slither,Slither
108,jerrymaguire,JerryMaguire
109,ducksoup,DuckSoup
110,fromdusktilldawn,FromDuskTillDawn
111,fargo,Fargo
112,theamerican,TheAmerican
113,theapartment,TheApartment
114,theamericanpresident,TheAmericanPresident
115,peggysuegotmarried,PeggySueGotMarried
116,pineappleexpress,PineappleExpress
117,midnightinparis,MidnightInParis
118,mysterymen,MysteryMen
119,theflintstones,TheFlintstones
120,aprilfoolsday,AprilFoolsDay
121,juno,Juno
122,breakingaway,BreakingAway
123,swingers,Swingers
124,arthur,Arthur
125,wagthedog,WagTheDog
126,bartonfink,BartonFink
127,twins,Twins
128,armyofdarkness,ArmyOfDarkness
129,winwin,WinWin
130,mygirl,MyGirl
131,deathtosmoochy,DeathToSmoochy
132,cradle2thegrave,Cradle2TheGrave
133,senseandsensibility,SenseAndSensibility
134,freaked,Freaked
135,thisis40,ThisIs40
136,horriblebosses,HorribleBosses
137,manonthemoon,ManOnTheMoon
138,brucealmighty,BruceAlmighty
139,badboys,BadBoys
140,sideways,Sideways
141,montecarlo,MonteCarlo
142,thebestexoticmarigoldhotel,TheBestExoticMarigoldHotel
143,wonderboys,WonderBoys
144,itscomplicated,ItsComplicated
145,almostfamous,AlmostFamous
146,bean,Bean
147,thehitchhikersguidetothegalaxy,TheHitchhikersGuideToTheGalaxy
148,sexandthecity,SexAndTheCity
149,heathers,Heathers
150,humannature,HumanNature
151,clueless,Clueless
152,thechangeup,TheChangeUp
153,stateandmain,StateAndMain
154,theinventionoflying,TheInventionOfLying
155,beingjohnmalkovich,BeingJohnMalkovich
156,intheloop,InTheLoop
157,thehangover,TheHangover
158,wildhogs,WildHogs
159,paul,Paul
160,bamboozled,Bamboozled
161,littlenicky,LittleNicky
162,intolerablecruelty,IntolerableCruelty
163,meninblack3,MenInBlack3
164,withnailandi,WithnailAndI
165,whitechristmas,WhiteChristmas
166,smashed,Smashed
167,truelies,TrueLies
168,neverbeenkissed,NeverBeenKissed
169,jennifersbody,JennifersBody
170,thegoodgirl,TheGoodGirl
171,frightnight1985,FrightNight1985
172,analyzethis,AnalyzeThis
173,cedarrapids,CedarRapids
174,shesoutofmyleague,ShesOutOfMyLeague
175,thesting,TheSting
176,buffythevampireslayer,BuffyTheVampireSlayer
177,thebiglebowski,TheBigLebowski
178,thekingofcomedy,TheKingOfComedy
179,sisteract,SisterAct
180,sunshinecleaning,SunshineCleaning
181,theprincessbride,ThePrincessBride
182,serialmom,SerialMom
183,repoman,RepoMan
184,aseriousman,ASeriousMan
185,thebrothersbloom,TheBrothersBloom
186,funnypeople,FunnyPeople
187,thefifthelement,TheFifthElement
188,haroldandkumargotowhitecastle,HaroldAndKumarGoToWhiteCastle
189,tremors,Tremors
190,majorleague,MajorLeague
191,rushhour,RushHour
192,iloveyouphillipmorris,ILoveYouPhillipMorris
193,spanglish,Spanglish
194,thegraduate,TheGraduate
195,charliesangels,CharliesAngels
196,bulldurham,BullDurham
197,wildwildwest,WildWildWest
198,nursebetty,NurseBetty
199,moonrisekingdom,MoonriseKingdom
200,realgenius,RealGenius
201,thestuntman,TheStuntMan
202,piratesofthecaribbeandeadmanschest,PiratesOfTheCaribbeanDeadMansChest
203,thehebrewhammer,TheHebrewHammer
204,yesman,YesMan
205,hallpass,HallPass
206,erinbrockovich,ErinBrockovich
207,hancock,Hancock
208,theuglytruth,TheUglyTruth
209,big,Big
210,tincup,TinCup
211,americangraffiti,AmericanGraffiti
212,manhattanmurdermystery,ManhattanMurderMystery
213,marypoppins,MaryPoppins
214,entrapment,Entrapment
215,runawaybride,RunawayBride
216,themask,TheMask
217,verybadthings,VeryBadThings
218,tinmen,TinMen
219,anniehall,AnnieHall
220,pleasantville,Pleasantville
221,mybestfriendswedding,MyBestFriendsWedding
222,brazil,Brazil
223,thetrumanshow,TheTrumanShow
224,moonstruck,Moonstruck
225,eightleggedfreaks,EightLeggedFreaks
226,bigfish,BigFish
227,semipro,SemiPro
228,thewolfofwallstreet,TheWolfOfWallStreet
229,jackiebrown,JackieBrown
230,ninotchka,Ninotchka
231,therockyhorrorpictureshow,TheRockyHorrorPictureShow
232,lockstockandtwosmokingbarrels,LockStockAndTwoSmokingBarrels
233,theprivatelifeofsherlockholmes,ThePrivateLifeOfSherlockHolmes
234,darkstar,DarkStar
235,adaptation,Adaptation
236,shallowgrave,ShallowGrave
237,shakespeareinlove,ShakespeareInLove
