,Movie_Script,Movie_Trope
0,wallstreet,WallStreet
1,burnafterreading,BurnAfterReading
2,grantorino,GranTorino
3,reservoirdogs,ReservoirDogs
4,darkman,Darkman
5,mrbrooks,MrBrooks
6,go,Go
7,theusualsuspects,TheUsualSuspects
8,americanhistoryx,AmericanHistoryX
9,rocknrolla,RockNRolla
10,cellular,Cellular
11,hanna,Hanna
12,mariachiel,ElMariachi
13,badlands,Badlands
14,extract,Extract
15,datenight,DateNight
16,birthdaygirl,BirthdayGirl
17,thegrifters,TheGrifters
18,witness,Witness
19,americanhustle,AmericanHustle
20,klute,Klute
21,heat,Heat
22,oceanseleven,OceansEleven
23,outofsight,OutOfSight
24,bonnieandclyde,BonnieAndClyde
25,devilinabluedress,DevilInABlueDress
26,johnq,JohnQ
27,basicinstinct,BasicInstinct
28,hardrain,HardRain
29,thelosers,TheLosers
30,lonestar,LoneStar
31,thesaltonsea,TheSaltonSea
32,fatalinstinct,FatalInstinct
33,copycat,Copycat
34,donniebrasco,DonnieBrasco
35,thenextthreedays,TheNextThreeDays
36,lordofwar,LordOfWar
37,blow,Blow
38,bottlerocket,BottleRocket
39,minorityreport,MinorityReport
40,trueromance,TrueRomance
41,thegetaway,TheGetaway
42,snatch,Snatch
43,thehost,TheHost
44,thebountyhunter,TheBountyHunter
45,thelifeofdavidgale,TheLifeOfDavidGale
46,theboondocksaints,TheBoondockSaints
47,lawabidingcitizen,LawAbidingCitizen
48,smokinaces,SmokinAces
49,drive,Drive
50,driveangry,DriveAngry
51,doubleindemnity,DoubleIndemnity
52,judgedredd,JudgeDredd
53,hudsonhawk,HudsonHawk
54,casino,Casino
55,thewhiteribbon,TheWhiteRibbon
56,thunderheart,Thunderheart
57,theblingring,TheBlingRing
58,easternpromises,EasternPromises
59,bloodandwine,BloodAndWine
60,badsanta,BadSanta
61,takinglives,TakingLives
62,observeandreport,ObserveAndReport
63,fargo,Fargo
64,capote,Capote
65,thelimey,TheLimey
66,whiteout,Whiteout
67,pineappleexpress,PineappleExpress
68,millerscrossing,MillersCrossing
69,gangsofnewyork,GangsOfNewYork
70,wildatheart,WildAtHeart
71,insomnia,Insomnia
72,deathtosmoochy,DeathToSmoochy
73,cradle2thegrave,Cradle2TheGrave
74,horriblebosses,HorribleBosses
75,publicenemies,PublicEnemies
76,naturalbornkillers,NaturalBornKillers
77,suspectzero,SuspectZero
78,taxidriver,TaxiDriver
79,traffic,Traffic
80,ninjaassassin,NinjaAssassin
81,badlieutenant,BadLieutenant
82,aliennation,AlienNation
83,manonfire,ManOnFire
84,thelincolnlawyer,TheLincolnLawyer
85,getcarter,GetCarter
86,nickoftime,NickOfTime
87,thehangover,TheHangover
88,kalifornia,Kalifornia
89,thevisitor,TheVisitor
90,changeling,Changeling
91,ticker,Ticker
92,thedeparted,TheDeparted
93,miamivice,MiamiVice
94,intolerablecruelty,IntolerableCruelty
95,meanstreets,MeanStreets
96,thegirlwiththedragontattoo,TheGirlWithTheDragonTattoo
97,catchmeifyoucan,CatchMeIfYouCan
98,panicroom,PanicRoom
99,thecrowsalvation,TheCrowSalvation
100,chinatown,Chinatown
101,hackers,Hackers
102,thekilling,TheKilling
103,analyzethis,AnalyzeThis
104,thetakingofpelhamonetwothree,TheTakingOfPelhamOneTwoThree
105,thesting,TheSting
106,theblackdahlia,TheBlackDahlia
107,thekingofcomedy,TheKingOfComedy
108,sisteract,SisterAct
109,wildthings,WildThings
110,slumdogmillionaire,SlumdogMillionaire
111,machinegunpreacher,MachineGunPreacher
112,bodyheat,BodyHeat
113,crank,Crank
114,serialmom,SerialMom
115,maxpayne,MaxPayne
116,reindeergames,ReindeerGames
117,thebrothersbloom,TheBrothersBloom
118,heavenlycreatures,HeavenlyCreatures
119,rushhour,RushHour
120,inthebedroom,InTheBedroom
121,thefrenchconnection,TheFrenchConnection
122,onlygodforgives,OnlyGodForgives
123,pulpfiction,PulpFiction
124,looper,Looper
125,gangrelated,GangRelated
126,blackrain,BlackRain
127,bluevelvet,BlueVelvet
128,jfk,JFK
129,antitrust,Antitrust
130,ronin,Ronin
131,hancock,Hancock
132,chaos,Chaos
133,thedarkknightrises,TheDarkKnightRises
134,theamerican,TheAmerican
135,manhattanmurdermystery,ManhattanMurderMystery
136,spartan,Spartan
137,entrapment,Entrapment
138,colombiana,Colombiana
139,themask,TheMask
140,afewgoodmen,AFewGoodMen
141,thecrowcityofangels,TheCrowCityOfAngels
142,deepcover,DeepCover
143,midnightexpress,MidnightExpress
144,absolutepower,AbsolutePower
145,americangangster,AmericanGangster
146,thewolfofwallstreet,TheWolfOfWallStreet
147,strangedays,StrangeDays
148,jackiebrown,JackieBrown
149,wanted,Wanted
150,faceoff,FaceOff
151,lockstockandtwosmokingbarrels,LockStockAndTwoSmokingBarrels
152,shallowgrave,ShallowGrave
