,Movie_Script,Movie_Trope
0,somethingsgottagive,SomethingsGottaGive
1,nottinghill,NottingHill
2,affliction,Affliction
3,schindlerslist,SchindlersList
4,oneflewoverthecuckoosnest,OneFlewOverTheCuckoosNest
5,basic,Basic
6,wallstreet,WallStreet
7,babel,Babel
8,synecdochenewyork,SynecdocheNewYork
9,fightclub,FightClub
10,topgun,TopGun
11,grantorino,GranTorino
12,dotherightthing,DoTheRightThing
13,blacksnakemoan,BlackSnakeMoan
14,broadcastnews,BroadcastNews
15,mrbrooks,MrBrooks
16,hannahandhersisters,HannahAndHerSisters
17,enemyofthestate,EnemyOfTheState
18,brick,Brick
19,hesher,Hesher
20,signs,Signs
21,kids,Kids
22,mumford,Mumford
23,snowwhiteandthehuntsman,SnowWhiteAndTheHuntsman
24,asgoodasitgets,AsGoodAsItGets
25,americanhistoryx,AmericanHistoryX
26,allabouteve,AllAboutEve
27,marthamarcymaymarlene,MarthaMarcyMayMarlene
28,punchdrunklove,PunchDrunkLove
29,lostintranslation,LostInTranslation
30,proposalthe,TheProposal
31,silverliningsplaybook,SilverLiningsPlaybook
32,jacobsladder,JacobsLadder
33,amour,Amour
34,fasttimesatridgemonthigh,FastTimesAtRidgemontHigh
35,cellular,Cellular
36,manwhoknewtoomuchthe,TheManWhoKnewTooMuch
37,goodwillhunting,GoodWillHunting
38,fourrooms,FourRooms
39,moneyball,Moneyball
40,idesofmarchthe,TheIdesOfMarch
41,livinginoblivion,LivingInOblivion
42,youthinrevolt,YouthInRevolt
43,sleeplessinseattle,SleeplessInSeattle
44,shame,Shame
45,badlands,Badlands
46,slingblade,SlingBlade
47,milk,Milk
48,robinhoodprinceofthieves,RobinHoodPrinceOfThieves
49,platoon,Platoon
50,clerks,Clerks
51,birthdaygirl,BirthdayGirl
52,griftersthe,TheGrifters
53,larrycrowne,LarryCrowne
54,witness,Witness
55,americanhustle,AmericanHustle
56,coolerthe,TheCooler
57,stepmom,Stepmom
58,klute,Klute
59,artistthe,TheArtist
60,fiveeasypieces,FiveEasyPieces
61,missiontomars,MissionToMars
62,heat,Heat
63,bluevalentine,BlueValentine
64,argo,Argo
65,takeshelter,TakeShelter
66,outofsight,OutOfSight
67,kidsareallrightthe,TheKidsAreAllRight
68,malcolmx,MalcolmX
69,bonnieandclyde,BonnieAndClyde
70,diner,Diner
71,forrestgump,ForrestGump
72,wrestlerthe,TheWrestler
73,gandhi,Gandhi
74,johnq,JohnQ
75,marty,Marty
76,insiderthe,TheInsider
77,kingkong,KingKong
78,warrior,Warrior
79,crazystupidlove,CrazyStupidLove
80,hardrain,HardRain
81,lonestar,LoneStar
82,danceswithwolves,DancesWithWolves
83,saltonseathe,TheSaltonSea
84,iamsam,IAmSam
85,knockedup,KnockedUp
86,lasttangoinparis,LastTangoInParis
87,edwood,EdWood
88,grapesofwraththe,TheGrapesOfWrath
89,donniebrasco,DonnieBrasco
90,descendantsthe,TheDescendants
91,nextthreedaysthe,TheNextThreeDays
92,excalibur,Excalibur
93,deadpoetssociety,DeadPoetsSociety
94,lordofwar,LordOfWar
95,blow,Blow
96,strangersonatrain,StrangersOnATrain
97,ragingbull,RagingBull
98,braveheart,Braveheart
99,minorityreport,MinorityReport
100,beastsofthesouthernwild,BeastsOfTheSouthernWild
101,burlesque,Burlesque
102,beingthere,BeingThere
103,getawaythe,TheGetaway
104,dogdayafternoon,DogDayAfternoon
105,hostage,Hostage
106,longkissgoodnightthe,TheLongKissGoodnight
107,mud,Mud
108,lifeofdavidgalethe,TheLifeOfDavidGale
109,boondocksaintsthe,TheBoondockSaints
110,lawabidingcitizen,LawAbidingCitizen
111,fruitvalestation,FruitvaleStation
112,smokinaces,SmokinAces
113,drive,Drive
114,fieldofdreams,FieldOfDreams
115,meetjohndoe,MeetJohnDoe
116,kingsspeechthe,TheKingsSpeech
117,hesjustnotthatintoyou,HesJustNotThatIntoYou
118,deerhunterthe,TheDeerHunter
119,se7en,Se7en
120,rachelgettingmarried,RachelGettingMarried
121,doubleindemnity,DoubleIndemnity
122,gardenstate,GardenState
123,whiteribbonthe,TheWhiteRibbon
124,hospitalthe,TheHospital
125,aneducation,AnEducation
126,blingringthe,TheBlingRing
127,easternpromises,EasternPromises
128,bloodandwine,BloodAndWine
129,truegrit,TrueGrit
130,flight,Flight
131,breakfastclubthe,TheBreakfastClub
132,takinglives,TakingLives
133,sessionsthe,TheSessions
134,observeandreport,ObserveAndReport
135,airforceone,AirForceOne
136,hisgirlfriday,HisGirlFriday
137,jerrymaguire,JerryMaguire
138,shawshankredemptionthe,TheShawshankRedemption
139,sweetsmellofsuccess,SweetSmellOfSuccess
140,lincoln,Lincoln
141,capote,Capote
142,chronicle,Chronicle
143,unbreakable,Unbreakable
144,creation,Creation
145,patriotthe,ThePatriot
146,americanpresidentthe,TheAmericanPresident
147,crouchingtigerhiddendragon,CrouchingTigerHiddenDragon
148,limeythe,TheLimey
149,whiteout,Whiteout
150,moon,Moon
151,fromheretoeternity,FromHereToEternity
152,millerscrossing,MillersCrossing
153,losthighway,LostHighway
154,gangsofnewyork,GangsOfNewYork
155,believerthe,TheBeliever
156,waybackthe,TheWayBack
157,edwardscissorhands,EdwardScissorhands
158,juno,Juno
159,breakingaway,BreakingAway
160,swingers,Swingers
161,wildatheart,WildAtHeart
162,allthepresidentsmen,AllThePresidentsMen
163,myweekwithmarilyn,MyWeekWithMarilyn
164,searchersthe,TheSearchers
165,syriana,Syriana
166,bartonfink,BartonFink
167,insomnia,Insomnia
168,winwin,WinWin
169,fairgame,FairGame
170,mygirl,MyGirl
171,cradle2thegrave,Cradle2TheGrave
172,blackswan,BlackSwan
173,peepingtom,PeepingTom
174,senseandsensibility,SenseAndSensibility
175,verdictthe,TheVerdict
176,manonthemoon,ManOnTheMoon
177,rememberme,RememberMe
178,programthe,TheProgram
179,cruelintentions,CruelIntentions
180,sideways,Sideways
181,publicenemies,PublicEnemies
182,suspectzero,SuspectZero
183,taxidriver,TaxiDriver
184,bestexoticmarigoldhotelthe,TheBestExoticMarigoldHotel
185,wonderboys,WonderBoys
186,americanbeauty,AmericanBeauty
187,seventhsealthe,TheSeventhSeal
188,almostfamous,AlmostFamous
189,traffic,Traffic
190,ninjaassassin,NinjaAssassin
191,anonymous,Anonymous
192,lastsamuraithe,TheLastSamurai
193,philadelphia,Philadelphia
194,agnesofgod,AgnesOfGod
195,sweeneytoddthedemonbarberoffleetstreet,SweeneyToddTheDemonBarberOfFleetStreet
196,badlieutenant,BadLieutenant
197,sexandthecity,SexAndTheCity
198,margincall,MarginCall
199,aliennation,AlienNation
200,manonfire,ManOnFire
201,lincolnlawyerthe,TheLincolnLawyer
202,getcarter,GetCarter
203,losthorizon,LostHorizon
204,nickoftime,NickOfTime
205,shampoo,Shampoo
206,manhunter,Manhunter
207,wallstreetmoneyneversleeps,WallStreetMoneyNeverSleeps
208,mulhollanddrive,MulhollandDrive
209,vforvendetta,VForVendetta
210,tosleepwithanger,ToSleepWithAnger
211,riseoftheplanetoftheapes,RiseOfThePlanetOfTheApes
212,buried,Buried
213,visitorthe,TheVisitor
214,changeling,Changeling
215,horsewhispererthe,TheHorseWhisperer
216,whatliesbeneath,WhatLiesBeneath
217,bamboozled,Bamboozled
218,elephantmanthe,TheElephantMan
219,departedthe,TheDeparted
220,miamivice,MiamiVice
221,leavinglasvegas,LeavingLasVegas
222,passionofjoanofarcthe,ThePassionOfJoanOfArc
223,alien3,Alien3
224,boogienights,BoogieNights
225,awakenings,Awakenings
226,meanstreets,MeanStreets
227,smashed,Smashed
228,grandhotel,GrandHotel
229,girlwiththedragontattoothe,TheGirlWithTheDragonTattoo
230,ironladythe,TheIronLady
231,tristanandisolde,TristanAndIsolde
232,baddayatblackrock,BadDayAtBlackRock
233,valkyrie,Valkyrie
234,catchmeifyoucan,CatchMeIfYouCan
235,kramervskramer,KramerVsKramer
236,warmsprings,WarmSprings
237,panicroom,PanicRoom
238,break,Brake
239,kafka,Kafka
240,crowsalvationthe,TheCrowSalvation
241,woodsmanthe,TheWoodsman
242,citizenkane,CitizenKane
243,pianistthe,ThePianist
244,cinemaparadiso,CinemaParadiso
245,curiouscaseofbenjaminbuttonthe,TheCuriousCaseOfBenjaminButton
246,arbitrage,Arbitrage
247,sexliesandvideotape,SexLiesAndVideotape
248,hackers,Hackers
249,goodgirlthe,TheGoodGirl
250,killingzoe,KillingZoe
251,takingofpelhamonetwothreethe,TheTakingOfPelhamOneTwoThree
252,midnightcowboy,MidnightCowboy
253,amadeus,Amadeus
254,orphan,Orphan
255,loveandbasketball,LoveAndBasketball
256,islandthe,TheIsland
257,autumninnewyork,AutumnInNewYork
258,eternalsunshineofthespotlessmind,EternalSunshineOfTheSpotlessMind
259,blackdahliathe,TheBlackDahlia
260,kingofcomedythe,TheKingOfComedy
261,wildthings,WildThings
262,backdraft,Backdraft
263,hotelrwanda,HotelRwanda
264,sunshinecleaning,SunshineCleaning
265,fighterthe,TheFighter
266,pariah,Pariah
267,slumdogmillionaire,SlumdogMillionaire
268,bookofelithe,TheBookOfEli
269,pearlharbor,PearlHarbor
270,bloodsimple,BloodSimple
271,rocky,Rocky
272,crank,Crank
273,rebelwithoutacause,RebelWithoutACause
274,invictus,Invictus
275,masterandcommander,MasterAndCommander
276,maxpayne,MaxPayne
277,reindeergames,ReindeerGames
278,brothersbloomthe,TheBrothersBloom
279,musicoftheheart,MusicOfTheHeart
280,funnypeople,FunnyPeople
281,heavenlycreatures,HeavenlyCreatures
282,prideandprejudice,PrideAndPrejudice
283,fifthelementthe,TheFifthElement
284,thirteendays,ThirteenDays
285,frances,Frances
286,perfectcreature,PerfectCreature
287,iloveyouphillipmorris,ILoveYouPhillipMorris
