,Movie_Script,Movie_Trope
0,thepacifier,ThePacifier
1,newyorkminute,NewYorkMinute
2,theaddamsfamily,TheAddamsFamily
3,threemenandababy,ThreeMenAndABaby
4,fieldofdreams,FieldOfDreams
5,ducksoup,DuckSoup
6,theflintstones,TheFlintstones
7,mygirl,MyGirl
8,labyrinth,Labyrinth
9,theprincessbride,ThePrincessBride
10,newsies,Newsies
11,mightymorphinpowerrangersthemovie,MightyMorphinPowerRangersTheMovie
12,speedracer,SpeedRacer
13,anastasia,Anastasia
14,big,Big
15,marypoppins,MaryPoppins
16,thewizardofoz,TheWizardOfOz
17,itsawonderfullife,ItsAWonderfulLife
