,Movie_Script,Movie_Trope
0,willow,Willow
1,theaddamsfamily,TheAddamsFamily
2,monkeybone,Monkeybone
3,dragonslayer,Dragonslayer
4,bladetrinity,BladeTrinity
5,thehudsuckerproxy,TheHudsuckerProxy
6,ted,Ted
7,xmenoriginswolverine,XMenOriginsWolverine
8,nightbreed,Nightbreed
9,excalibur,Excalibur
10,thewatch,TheWatch
11,dune,Dune
12,beastsofthesouthernwild,BeastsOfTheSouthernWild
13,scottpilgrimvstheworld,ScottPilgrimVsTheWorld
14,fieldofdreams,FieldOfDreams
15,driveangry,DriveAngry
16,groundhogday,GroundhogDay
17,liarliar,LiarLiar
18,gremlins,Gremlins
19,dogma,Dogma
20,unbreakable,Unbreakable
21,thecrow,TheCrow
22,crouchingtigerhiddendragon,CrouchingTigerHiddenDragon
23,tron,Tron
24,midnightinparis,MidnightInParis
25,theprophecy,TheProphecy
26,mysterymen,MysteryMen
27,theflintstones,TheFlintstones
28,edwardscissorhands,EdwardScissorhands
29,armyofdarkness,ArmyOfDarkness
30,brucealmighty,BruceAlmighty
31,highlanderendgame,HighlanderEndgame
32,theseventhseal,TheSeventhSeal
33,losthorizon,LostHorizon
34,beingjohnmalkovich,BeingJohnMalkovich
35,littlenicky,LittleNicky
36,labyrinth,Labyrinth
37,legion,Legion
38,supergirl,Supergirl
39,lordofillusions,LordOfIllusions
40,ghostrider,GhostRider
41,thecuriouscaseofbenjaminbutton,TheCuriousCaseOfBenjaminButton
42,theprincessbride,ThePrincessBride
43,eriktheviking,ErikTheViking
44,heavenlycreatures,HeavenlyCreatures
45,thefifthelement,TheFifthElement
46,perfectcreature,PerfectCreature
47,theimaginariumofdoctorparnassus,TheImaginariumOfDoctorParnassus
48,piratesofthecaribbeandeadmanschest,PiratesOfTheCaribbeanDeadMansChest
49,thejacket,TheJacket
50,hancock,Hancock
51,highlander,Highlander
52,big,Big
53,redridinghood,RedRidingHood
54,thegreenmile,TheGreenMile
55,marypoppins,MaryPoppins
56,thor,Thor
57,thebutterflyeffect,TheButterflyEffect
58,themask,TheMask
59,thecrowcityofangels,TheCrowCityOfAngels
60,pleasantville,Pleasantville
61,brazil,Brazil
62,thetrumanshow,TheTrumanShow
63,thewizardofoz,TheWizardOfOz
64,bigfish,BigFish
65,itsawonderfullife,ItsAWonderfulLife
66,constantine,Constantine
67,meetjoeblack,MeetJoeBlack
