,Movie_Script,Movie_Trope
0,hellraiser,Hellraiser
1,residentevil,ResidentEvil
2,signs,Signs
3,cube,Cube
4,theaddamsfamily,TheAddamsFamily
5,jaws2,Jaws2
6,queenofthedamned,QueenOfTheDamned
7,theruins,TheRuins
8,lakeplacid,LakePlacid
9,feast,Feast
10,ghostship,GhostShip
11,bladetrinity,BladeTrinity
12,dragmetohell,DragMeToHell
13,cherryfalls,CherryFalls
14,theragecarrie2,TheRageCarrie2
15,gothika,Gothika
16,nightbreed,Nightbreed
17,finaldestination,FinalDestination
18,theninthgate,TheNinthGate
19,scream2,Scream2
20,copycat,Copycat
21,insidious,Insidious
22,jurassicpark,JurassicPark
23,finaldestination2,FinalDestination2
24,therelic,TheRelic
25,gremlins,Gremlins
26,takinglives,TakingLives
27,slither,Slither
28,fromdusktilldawn,FromDuskTillDawn
29,deeprising,DeepRising
30,hellraiserdeader,HellraiserDeader
31,thecrow,TheCrow
32,they,They
33,houseof1000corpses,HouseOf1000Corpses
34,theprophecy,TheProphecy
35,losthighway,LostHighway
36,aprilfoolsday,AprilFoolsDay
37,armyofdarkness,ArmyOfDarkness
38,peepingtom,PeepingTom
39,silverbullet,SilverBullet
40,suspectzero,SuspectZero
41,thebirds,TheBirds
42,psycho,Psycho
43,alienresurrection,AlienResurrection
44,sweeneytoddthedemonbarberoffleetstreet,SweeneyToddTheDemonBarberOfFleetStreet
45,manhunter,Manhunter
46,mulhollanddrive,MulhollandDrive
47,alien,Alien
48,shivers,Shivers
49,whatliesbeneath,WhatLiesBeneath
50,stirofechoes,StirOfEchoes
51,whenastrangercalls,WhenAStrangerCalls
52,littlenicky,LittleNicky
53,alien3,Alien3
54,predator,Predator
55,jurassicparkiii,JurassicParkIII
56,legion,Legion
57,thecrowsalvation,TheCrowSalvation
58,jennifersbody,JennifersBody
59,lordofillusions,LordOfIllusions
60,thehollow,TheHollow
61,thenines,TheNines
62,frightnight1985,FrightNight1985
63,orphan,Orphan
64,buffythevampireslayer,BuffyTheVampireSlayer
65,landofthedead,LandOfTheDead
66,serialmom,SerialMom
67,istillknowwhatyoudidlastsummer,IStillKnowWhatYouDidLastSummer
68,heavenlycreatures,HeavenlyCreatures
69,case39,Case39
70,tremors,Tremors
71,perfectcreature,PerfectCreature
72,eventhorizon,EventHorizon
73,bladeii,BladeII
74,theroommate,TheRoommate
75,halloweenthecurseofmichaelmyers,HalloweenTheCurseOfMichaelMyers
76,jasonx,JasonX
77,theshining,TheShining
78,hellboundhellraiserii,HellboundHellraiserII
79,aliens,Aliens
80,scream3,Scream3
81,interviewwiththevampire,InterviewWithTheVampire
82,fridaythe13thpartviiijasontakesmanhattan,FridayThe13thPartVIIIJasonTakesManhattan
83,thecar,TheCar
84,thegrudge,TheGrudge
85,mirrors,Mirrors
86,jaws,Jaws
87,redridinghood,RedRidingHood
88,blade,Blade
89,mimic,Mimic
90,thesixthsense,TheSixthSense
91,pandorum,Pandorum
92,hellraiserhellseeker,HellraiserHellseeker
93,eightleggedfreaks,EightLeggedFreaks
94,pitchblack,PitchBlack
95,scream,Scream
96,thecell,TheCell
97,therockyhorrorpictureshow,TheRockyHorrorPictureShow
98,constantine,Constantine
99,gingersnaps,GingerSnaps
