,Movie_Script,Movie_Trope
0,limitless,Limitless
1,basic,Basic
2,brick,Brick
3,cube,Cube
4,theusualsuspects,TheUsualSuspects
5,vanillasky,VanillaSky
6,super8,Super8
7,cellular,Cellular
8,hanna,Hanna
9,cherryfalls,CherryFalls
10,gothika,Gothika
11,klute,Klute
12,devilinabluedress,DevilInABlueDress
13,theninthgate,TheNinthGate
14,basicinstinct,BasicInstinct
15,scream2,Scream2
16,kingkong,KingKong
17,thelosers,TheLosers
18,lonestar,LoneStar
19,copycat,Copycat
20,rearwindow,RearWindow
21,minorityreport,MinorityReport
22,se7en,Se7en
23,charade,Charade
24,colorofnight,ColorOfNight
25,thewhiteribbon,TheWhiteRibbon
26,thunderheart,Thunderheart
27,easternpromises,EasternPromises
28,hellraiserdeader,HellraiserDeader
29,whiteout,Whiteout
30,them,Them
31,theprophecy,TheProphecy
32,losthighway,LostHighway
33,aprilfoolsday,AprilFoolsDay
34,blackswan,BlackSwan
35,agnesofgod,AgnesOfGod
36,losthorizon,LostHorizon
37,mulhollanddrive,MulhollandDrive
38,inception,Inception
39,thehangover,TheHangover
40,buried,Buried
41,sourcecode,SourceCode
42,changeling,Changeling
43,whatliesbeneath,WhatLiesBeneath
44,stirofechoes,StirOfEchoes
45,darkcity,DarkCity
46,thegirlwiththedragontattoo,TheGirlWithTheDragonTattoo
47,missionimpossibleii,MissionImpossibleII
48,citizenkane,CitizenKane
49,chinatown,Chinatown
50,thecuriouscaseofbenjaminbutton,TheCuriousCaseOfBenjaminButton
51,thenines,TheNines
52,orphan,Orphan
53,thebiglebowski,TheBigLebowski
54,theblackdahlia,TheBlackDahlia
55,backdraft,Backdraft
56,themanchuriancandidate,TheManchurianCandidate
57,istillknowwhatyoudidlastsummer,IStillKnowWhatYouDidLastSummer
58,thebourneultimatum,TheBourneUltimatum
59,case39,Case39
60,theimaginariumofdoctorparnassus,TheImaginariumOfDoctorParnassus
61,tinkertailorsoldierspy,TinkerTailorSoldierSpy
62,eagleeye,EagleEye
63,scream3,Scream3
64,prometheus,Prometheus
65,bluevelvet,BlueVelvet
66,jfk,JFK
67,thegrudge,TheGrudge
68,mirrors,Mirrors
69,redridinghood,RedRidingHood
70,manhattanmurdermystery,ManhattanMurderMystery
71,memento,Memento
72,afewgoodmen,AFewGoodMen
73,thesixthsense,TheSixthSense
74,thegame,TheGame
75,scream,Scream
76,strangedays,StrangeDays
77,thefugitive,TheFugitive
78,thebourneidentity,TheBourneIdentity
79,theprivatelifeofsherlockholmes,ThePrivateLifeOfSherlockHolmes
80,meetjoeblack,MeetJoeBlack
81,thebox,TheBox
