,Movie_Script,Movie_Trope
0,somethingsgottagive,SomethingsGottaGive
1,nottinghill,NottingHill
2,thefamilyman,TheFamilyMan
3,prettywoman,PrettyWoman
4,broadcastnews,BroadcastNews
5,hannahandhersisters,HannahAndHerSisters
6,vanillasky,VanillaSky
7,asgoodasitgets,AsGoodAsItGets
8,punchdrunklove,PunchDrunkLove
9,lostintranslation,LostInTranslation
10,theproposal,TheProposal
11,bodyofevidence,BodyOfEvidence
12,silverliningsplaybook,SilverLiningsPlaybook
13,thehudsuckerproxy,TheHudsuckerProxy
14,amour,Amour
15,chasingamy,ChasingAmy
16,youvegotmail,YouveGotMail
17,youthinrevolt,YouthInRevolt
18,sleeplessinseattle,SleeplessInSeattle
19,extract,Extract
20,datenight,DateNight
21,birthdaygirl,BirthdayGirl
22,larrycrowne,LarryCrowne
23,witness,Witness
24,thecooler,TheCooler
25,theartist,TheArtist
26,bluevalentine,BlueValentine
27,outofsight,OutOfSight
28,theadjustmentbureau,TheAdjustmentBureau
29,bonnieandclyde,BonnieAndClyde
30,thepiano,ThePiano
31,marty,Marty
32,nostringsattached,NoStringsAttached
33,crazystupidlove,CrazyStupidLove
34,thelastofthemohicans,TheLastOfTheMohicans
35,knockedup,KnockedUp
36,lasttangoinparis,LastTangoInParis
37,thenextthreedays,TheNextThreeDays
38,soimarriedanaxemurderer,SoIMarriedAnAxeMurderer
39,airplane,Airplane
40,burlesque,Burlesque
41,trueromance,TrueRomance
42,thebountyhunter,TheBountyHunter
43,ithappenedonenight,ItHappenedOneNight
44,theressomethingaboutmary,TheresSomethingAboutMary
45,hesjustnotthatintoyou,HesJustNotThatIntoYou
46,easya,EasyA
47,groundhogday,GroundhogDay
48,charade,Charade
49,rachelgettingmarried,RachelGettingMarried
50,colorofnight,ColorOfNight
51,gardenstate,GardenState
52,thesessions,TheSessions
53,hisgirlfriday,HisGirlFriday
54,jerrymaguire,JerryMaguire
55,thecrow,TheCrow
56,theamericanpresident,TheAmericanPresident
57,crouchingtigerhiddendragon,CrouchingTigerHiddenDragon
58,fromheretoeternity,FromHereToEternity
59,midnightinparis,MidnightInParis
60,edwardscissorhands,EdwardScissorhands
61,juno,Juno
62,wildatheart,WildAtHeart
63,hardtokill,HardToKill
64,mygirl,MyGirl
65,senseandsensibility,SenseAndSensibility
66,brucealmighty,BruceAlmighty
67,rememberme,RememberMe
68,cruelintentions,CruelIntentions
69,naturalbornkillers,NaturalBornKillers
70,montecarlo,MonteCarlo
71,thebirds,TheBirds
72,itscomplicated,ItsComplicated
73,almostfamous,AlmostFamous
74,sexandthecity,SexAndTheCity
75,clueless,Clueless
76,mulhollanddrive,MulhollandDrive
77,thevisitor,TheVisitor
78,thehorsewhisperer,TheHorseWhisperer
79,leavinglasvegas,LeavingLasVegas
80,intolerablecruelty,IntolerableCruelty
81,whitechristmas,WhiteChristmas
82,truelies,TrueLies
83,grandhotel,GrandHotel
84,tristanandisolde,TristanAndIsolde
85,neverbeenkissed,NeverBeenKissed
86,cinemaparadiso,CinemaParadiso
87,thecuriouscaseofbenjaminbutton,TheCuriousCaseOfBenjaminButton
88,loveandbasketball,LoveAndBasketball
89,shesoutofmyleague,ShesOutOfMyLeague
90,autumninnewyork,AutumnInNewYork
91,eternalsunshineofthespotlessmind,EternalSunshineOfTheSpotlessMind
92,slumdogmillionaire,SlumdogMillionaire
93,pearlharbor,PearlHarbor
94,rocky,Rocky
95,theprincessbride,ThePrincessBride
96,thebrothersbloom,TheBrothersBloom
97,heavenlycreatures,HeavenlyCreatures
98,prideandprejudice,PrideAndPrejudice
99,thefifthelement,TheFifthElement
100,iloveyouphillipmorris,ILoveYouPhillipMorris
101,thebigblue,TheBigBlue
102,spanglish,Spanglish
103,thegraduate,TheGraduate
104,bulldurham,BullDurham
105,moonrisekingdom,MoonriseKingdom
106,thestuntman,TheStuntMan
107,yesman,YesMan
108,hallpass,HallPass
109,starman,Starman
110,crash,Crash
111,walktoremembera,AWalkToRemember
112,thefabulousbakerboys,TheFabulousBakerBoys
113,theuglytruth,TheUglyTruth
114,tincup,TinCup
115,theotherboleyngirl,TheOtherBoleynGirl
116,runawaybride,RunawayBride
117,themask,TheMask
118,anniehall,AnnieHall
119,janeeyre,JaneEyre
120,angeleyes,AngelEyes
121,mybestfriendswedding,MyBestFriendsWedding
122,savethelastdance,SaveTheLastDance
123,moonstruck,Moonstruck
124,barrylyndon,BarryLyndon
125,itsawonderfullife,ItsAWonderfulLife
126,ninotchka,Ninotchka
127,meetjoeblack,MeetJoeBlack
128,shakespeareinlove,ShakespeareInLove
