,Movie_Script,Movie_Trope
0,serenity,Serenity
1,startrekgenerations,StarTrekGenerations
2,avatar,Avatar
3,limitless,Limitless
4,darkman,Darkman
5,existenz,EXistenZ
6,gravity,Gravity
7,residentevil,ResidentEvil
8,signs,Signs
9,cube,Cube
10,vanillasky,VanillaSky
11,ghostship,GhostShip
12,super8,Super8
13,lostinspace,LostInSpace
14,xmenoriginswolverine,XMenOriginsWolverine
15,theragecarrie2,TheRageCarrie2
16,armageddon,Armageddon
17,startrekthemotionpicture,StarTrekTheMotionPicture
18,missiontomars,MissionToMars
19,theadjustmentbureau,TheAdjustmentBureau
20,startrekfirstcontact,StarTrekFirstContact
21,madmax2theroadwarrior,MadMax2TheRoadWarrior
22,waroftheworlds,WarOfTheWorlds
23,thexfilesfightthefuture,TheXFilesFightTheFuture
24,thewatch,TheWatch
25,battlelosangeles,BattleLosAngeles
26,dune,Dune
27,minorityreport,MinorityReport
28,jurassicpark,JurassicPark
29,sphere,Sphere
30,judgedredd,JudgeDredd
31,irobot,IRobot
32,hottubtimemachine,HotTubTimeMachine
33,thematrix,TheMatrix
34,meninblack,MenInBlack
35,slither,Slither
36,chronicle,Chronicle
37,tron,Tron
38,next,Next
39,them,Them
40,startrekiithewrathofkhan,StarTrekIITheWrathOfKhan
41,twins,Twins
42,freaked,Freaked
43,logansrun,LogansRun
44,highlanderendgame,HighlanderEndgame
45,thehitchhikersguidetothegalaxy,TheHitchhikersGuideToTheGalaxy
46,alienresurrection,AlienResurrection
47,theabyss,TheAbyss
48,aliennation,AlienNation
49,losthorizon,LostHorizon
50,vforvendetta,VForVendetta
51,alien,Alien
52,riseoftheplanetoftheapes,RiseOfThePlanetOfTheApes
53,sourcecode,SourceCode
54,surrogates,Surrogates
55,paul,Paul
56,shivers,Shivers
57,darkcity,DarkCity
58,alien3,Alien3
59,predator,Predator
60,meninblack3,MenInBlack3
61,jurassicparkiii,JurassicParkIII
62,supergirl,Supergirl
63,thematrixreloaded,TheMatrixReloaded
64,thehollow,TheHollow
65,gamer,Gamer
66,theisland,TheIsland
67,eternalsunshineofthespotlessmind,EternalSunshineOfTheSpotlessMind
68,escapefromnewyork,EscapeFromNewYork
69,thebookofeli,TheBookOfEli
70,themanchuriancandidate,TheManchurianCandidate
71,repoman,RepoMan
72,starshiptroopers,StarshipTroopers
73,redplanet,RedPlanet
74,arcade,Arcade
75,pi,Pi
76,thefifthelement,TheFifthElement
77,tremors,Tremors
78,perfectcreature,PerfectCreature
79,eventhorizon,EventHorizon
80,thepostman,ThePostman
81,independenceday,IndependenceDay
82,jasonx,JasonX
83,wildwildwest,WildWildWest
84,aliens,Aliens
85,looper,Looper
86,terminatorsalvation,TerminatorSalvation
87,prometheus,Prometheus
88,starman,Starman
89,soldier,Soldier
90,gattaca,Gattaca
91,blade,Blade
92,virtuosity,Virtuosity
93,avengersthe2012,TheAvengers2012
94,mimic,Mimic
95,bladerunner,BladeRunner
96,pandorum,Pandorum
97,brazil,Brazil
98,thetrumanshow,TheTrumanShow
99,eightleggedfreaks,EightLeggedFreaks
100,pitchblack,PitchBlack
101,thecell,TheCell
102,strangedays,StrangeDays
103,tronlegacy,TronLegacy
104,therockyhorrorpictureshow,TheRockyHorrorPictureShow
105,startreknemesis,StarTrekNemesis
106,thebox,TheBox
107,darkstar,DarkStar
