,Movie_Script,Movie_Trope
0,serenity,Serenity
1,limitless,Limitless
2,basic,Basic
3,babel,Babel
4,thepacifier,ThePacifier
5,thedebt,TheDebt
6,fightclub,FightClub
7,reservoirdogs,ReservoirDogs
8,darkman,Darkman
9,existenz,EXistenZ
10,machete,Machete
11,mrbrooks,MrBrooks
12,gravity,Gravity
13,enemyofthestate,EnemyOfTheState
14,residentevil,ResidentEvil
15,signs,Signs
16,cube,Cube
17,jaws2,Jaws2
18,theusualsuspects,TheUsualSuspects
19,theruins,TheRuins
20,vanillasky,VanillaSky
21,lakeplacid,LakePlacid
22,americanhistoryx,AmericanHistoryX
23,marthamarcymaymarlene,MarthaMarcyMayMarlene
24,feast,Feast
25,ghostship,GhostShip
26,bladetrinity,BladeTrinity
27,bodyofevidence,BodyOfEvidence
28,jacobsladder,JacobsLadder
29,super8,Super8
30,dragmetohell,DragMeToHell
31,commando,Commando
32,cellular,Cellular
33,themanwhoknewtoomuch,TheManWhoKnewTooMuch
34,breakdown,Breakdown
35,cherryfalls,CherryFalls
36,mariachiel,ElMariachi
37,phonebooth,PhoneBooth
38,xmenoriginswolverine,XMenOriginsWolverine
39,theragecarrie2,TheRageCarrie2
40,badlands,Badlands
41,armageddon,Armageddon
42,witness,Witness
43,gothika,Gothika
44,klute,Klute
45,assassins,Assassins
46,missiontomars,MissionToMars
47,heat,Heat
48,oceanseleven,OceansEleven
49,argo,Argo
50,takeshelter,TakeShelter
51,outofsight,OutOfSight
52,theadjustmentbureau,TheAdjustmentBureau
53,finaldestination,FinalDestination
54,devilinabluedress,DevilInABlueDress
55,theninthgate,TheNinthGate
56,tomorrowneverdies,TomorrowNeverDies
57,johnq,JohnQ
58,basicinstinct,BasicInstinct
59,waroftheworlds,WarOfTheWorlds
60,scream2,Scream2
61,theinsider,TheInsider
62,kingkong,KingKong
63,thexfilesfightthefuture,TheXFilesFightTheFuture
64,hardrain,HardRain
65,thelosers,TheLosers
66,thesaltonsea,TheSaltonSea
67,xxx,XXx
68,fatalinstinct,FatalInstinct
69,copycat,Copycat
70,donniebrasco,DonnieBrasco
71,thenextthreedays,TheNextThreeDays
72,soimarriedanaxemurderer,SoIMarriedAnAxeMurderer
73,thewatch,TheWatch
74,lordofwar,LordOfWar
75,strangersonatrain,StrangersOnATrain
76,rearwindow,RearWindow
77,minorityreport,MinorityReport
78,trueromance,TrueRomance
79,insidious,Insidious
80,thegetaway,TheGetaway
81,dogdayafternoon,DogDayAfternoon
82,thehost,TheHost
83,thelongkissgoodnight,TheLongKissGoodnight
84,thelastboyscout,TheLastBoyScout
85,jurassicpark,JurassicPark
86,thelifeofdavidgale,TheLifeOfDavidGale
87,theboondocksaints,TheBoondockSaints
88,lawabidingcitizen,LawAbidingCitizen
89,sphere,Sphere
90,finaldestination2,FinalDestination2
91,disturbia,Disturbia
92,therelic,TheRelic
93,se7en,Se7en
94,charade,Charade
95,irobot,IRobot
96,colorofnight,ColorOfNight
97,thematrix,TheMatrix
98,thunderheart,Thunderheart
99,easternpromises,EasternPromises
100,bloodandwine,BloodAndWine
101,takinglives,TakingLives
102,airforceone,AirForceOne
103,fromdusktilldawn,FromDuskTillDawn
104,fargo,Fargo
105,deeprising,DeepRising
106,chronicle,Chronicle
107,hellraiserdeader,HellraiserDeader
108,unbreakable,Unbreakable
109,thecrow,TheCrow
110,next,Next
111,they,They
112,whiteout,Whiteout
113,them,Them
114,pineappleexpress,PineappleExpress
115,millerscrossing,MillersCrossing
116,theprophecy,TheProphecy
117,losthighway,LostHighway
118,wildatheart,WildAtHeart
119,allthepresidentsmen,AllThePresidentsMen
120,syriana,Syriana
121,bartonfink,BartonFink
122,insomnia,Insomnia
123,fairgame,FairGame
124,cradle2thegrave,Cradle2TheGrave
125,blackswan,BlackSwan
126,peepingtom,PeepingTom
127,publicenemies,PublicEnemies
128,naturalbornkillers,NaturalBornKillers
129,suspectzero,SuspectZero
130,taxidriver,TaxiDriver
131,thebirds,TheBirds
132,psycho,Psycho
133,traffic,Traffic
134,ninjaassassin,NinjaAssassin
135,anonymous,Anonymous
