,Movie_Script,Movie_Trope
0,schindlerslist,SchindlersList
1,inglouriousbasterds,InglouriousBasterds
2,themenwhostareatgoats,TheMenWhoStareAtGoats
3,platoon,Platoon
4,tropicthunder,TropicThunder
5,thelastofthemohicans,TheLastOfTheMohicans
6,braveheart,Braveheart
7,thedeerhunter,TheDeerHunter
8,thepatriot,ThePatriot
9,fromheretoeternity,FromHereToEternity
10,thelastsamurai,TheLastSamurai
11,threekings,ThreeKings
12,valkyrie,Valkyrie
13,thepianist,ThePianist
14,hotelrwanda,HotelRwanda
15,pearlharbor,PearlHarbor
16,apocalypsenow,ApocalypseNow
17,savingprivateryan,SavingPrivateRyan
18,defiance,Defiance
19,thebattleofalgiers,TheBattleOfAlgiers
20,barrylyndon,BarryLyndon
